ecc,scan_type,category,event,pl,judgment,source_dir,AffineParam_a,AffineParam_b,AffineParam_c,AffineParam_d,AffineParam_e,AffineParam_f,NumOfPics,Gap,PxLen,ThickOfBase,ThickOfEmul,lens_StagePos_x,lens_StagePos_y,lens_SurfacePos,stage_StagePos_x,stage_StagePos_y,stage_SurfacePos,Track_ax,Track_ay,Track_x,Track_y,scale_x,scale_y,det,det_dev,scale_dev,rotation_deg,nonortho,translation_mag,outcome,n_dirs,n_events
4,FTS,IMG,7378,36,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event07378\PL036,1.0002848896161611,-0.0131672222383923,0.0129197399427963,1.0003573663540015,53138.5932873449,-91052.74716642842,200,0.5,0.156,210,70,113187.86065365508,-18298.444135148995,-334.0,113227.66073889182,-18217.64675293742,-334.0,-0.1945,-0.3821,61020.0,72021.0,1.0003683222066786,1.000444019503435,1.0008124748672151,0.0008124748672151405,0.0004440195034349781,0.7399945946898702,-0.0002464162056660285,105424.44148825924,OK,1,1
4,FTS,IMG,3492,36,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event03492\PL036,1.0003533461490546,-0.0038484371353577,0.003676691551584,1.000447669136533,-66669.94145546734,-170656.30907405895,200,0.5,0.156,210,70,-3758.5414627425407,-103479.06664906684,-362.0,-3749.885122609761,-103468.44594578036,-362.0,-0.0414,-0.0504,63155.3,66925.7,1.0003601027691857,1.0004550710297322,1.0008153229840553,0.0008153229840552889,0.00045507102973219027,0.21058355103519696,-0.00017131978940502802,183216.9667919873,OK,1,1
4,FTS,IMG,1966,36,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event01966\PL036,1.0003878796006178,-0.0049019437805575,0.0046093802102142,1.0003720155694904,52224.4728092848,-13903.07729418479,200,0.5,0.156,210,70,83820.92395385205,9939.751579094916,-353.5,83824.6116452715,9907.457825629434,-353.5,-0.0168,0.1538,31703.8,23655.6,1.000398498618297,1.0003840255558825,1.0007826343900126,0.0007826343900125821,0.00039849861829699407,0.26399376551774906,-0.0002925212234408586,54043.41882649361,OK,2,2
4,FTS,IMG,7224,38,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event07224\PL038,1.0003141329937724,-0.0003335244570919,0.000145926710463,1.0003880092775372,-56989.15323974133,-90961.89010604714,200,0.5,0.156,210,70,18764.344360040857,-81408.1088231006,-347.5,18721.461466812245,-81376.53142736279,-347.5,0.20409,-0.15034,75690.03,9570.6,1.0003141436377312,1.000388064875245,1.0007023128279524,0.0007023128279524116,0.0003880648752450089,0.008358358932132392,-0.00018751419982068241,107339.78311254088,OK,1,1
4,FTS,IMG,450,38,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event00450\PL038,1.000322264880572,-0.0043416271512601,0.0041361216259589,1.0002872168512378,63900.76011010286,-12682.99002001731,200,0.5,0.156,210,70,105739.06404573932,24883.48337779238,-347.75,105780.20596639212,24929.594506435267,-347.75,-0.1968,-0.2187,42028.4,37428.0,1.0003308158393913,1.0002966389638204,1.0006275317896662,0.0006275317896662358,0.00033081583939131853,0.23690461617503422,-0.00020558769826317837,65147.259178700464,OK,1,1
4,FTS,IMG,7378,38,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event07378\PL038,1.0003313362864104,-0.0025344765833967,0.0023708406371742,1.0003978460649925,63285.49888244706,-90525.37452696273,200,0.5,0.156,210,70,123849.27702154651,-15953.529066300998,-323.5,123889.0698895049,-15872.76218830228,-336.75,-0.1904,-0.384,60772.2,74478.9,1.0003341457942354,1.0004010565683286,1.0007353230123186,0.0007353230123186005,0.0004010565683285616,0.13579391461411655,-0.00016341231764230185,110453.14754250817,OK,1,1
4,FTS,IMG,8322,38,k:Retake,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\FTS\ECC4\IMG\Event08322\PL038,1.0006712344961952,0.0782896187675291,0.0036485470110033,0.9229779583561752,-58769.19756879342,-9558.93561918314,200,0.5,0.156,210,70,61329.503117813794,26839.2487243112,-352.5,61348.75087389286,27018.861947637957,-352.5,-0.0191,-0.9266,116973.0,39167.8,1.00067788595703,0.9262923814963063,0.9233118496465049,0.07668815035349508,0.07370761850369367,0.20890519436306268,0.08815180522742634,59541.513526711446,FAIL,1,1
4,FTS,IMG,2069,40,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event02069\PL040,1.0002918911466072,-0.0012456259002987,0.0006182877247876,1.0002860970526517,-297788.9898684321,-114672.81066129102,200,0.5,0.156,210,70,-237152.47884724272,-75916.66286878641,4826.25,-237136.93195474104,-75884.80812644133,4826.25,-0.0742,-0.1516,60682.6,38739.4,1.0002920822306685,1.0002868726224046,1.0005788418636594,0.0005788418636594184,0.0002920822306684556,0.035414935337506545,-0.0006271617215151679,319105.21147706354,OK,2,2
4,FTS,IMG,450,40,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event00450\PL040,1.000312406889977,-0.0044813375861088,0.0037355069801881,1.000316128114039,-177271.59702598007,-37855.04923230983,200,0.5,0.156,210,70,-131919.53207750738,957.3743777678357,4845.25,-131878.18766800602,1003.6391151821956,4833.250000000001,-0.1978,-0.2195,45552.5,38676.3,1.0003193816928762,1.0003261660836544,1.0006453738324503,0.0006453738324503355,0.00032616608365443334,0.21396094654249592,-0.0007455683302374968,181268.37524654448,OK,1,1
4,FTS,IMG,2069,42,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event02069\PL042,1.0001927341643686,-0.0061599807313892,0.0060073705595508,1.0003247733281455,-302867.4934215912,-118225.14949850156,200,0.5,0.156,210,70,-240868.4336964355,-76508.73325822903,4834.0,-240852.87664065932,-76476.81330947927,4834.0,-0.075,-0.1515,62257.4,41360.9,1.0002107747751146,1.0003437396698283,1.0005545753743232,0.0005545753743232407,0.000343739669828258,0.34412651526453025,-0.0001517622115132583,325124.444706055,OK,1,1
4,FTS,IMG,3284,42,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event03284\PL042,1.0002377359963217,-0.001049194599363,0.0008802325403988,1.0002849921977608,-181457.35214557988,-194576.149992843,200,0.5,0.156,210,70,-100375.17398110878,-142854.91850450693,4880.5,-100345.55942402376,-142832.5000425012,4880.5,-0.1411,-0.1066,81146.7,51657.5,1.000238123308831,1.0002855424454467,1.0005237194822143,0.0005237194822143021,0.00028554244544665153,0.05042160950407848,-0.00016887218681795128,266057.60427719844,OK,2,2
4,FTS,IMG,8782,46,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event08782\PL046,1.000315942569688,-0.0096371820220897,0.009472707704043,1.000281503881535,-185063.3094599212,-40611.56090107769,200,0.5,0.156,210,70,-139664.87338123747,-29402.64957298318,4867.0,-139623.21841453126,-29419.576066530117,4867.0,-0.1975,0.08245,45529.38,10757.67,1.0003607934891938,1.0003279273742345,1.0006888255986683,0.0006888255986683411,0.0003607934891938225,0.542558531857515,-0.0001647390314130762,189466.9559239302,OK,2,2
4,FTS,IMG,9343,46,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event09343\PL046,1.0003380558637591,0.0070439172196203,-0.0071536812533261,1.0003635131586197,-185457.8906150293,-115645.019566558,200,0.5,0.156,210,70,-156403.87619760158,-108054.55523952072,4878.0,-156413.5224671273,-108031.18761751072,4878.0,0.0467,-0.1109,28979.5,7818.3,1.0003636344673668,1.0003883122212358,1.0007520818486977,0.0007520818486976832,0.0003883122212358092,-0.4097302452064273,-0.00010990059854450574,218559.8310347209,OK,2,2
4,FTS,IMG,8782,47,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event08782\PL047,1.0001998557566885,0.0154381551143245,-0.0155880900937917,1.000255069278645,-183324.17766988985,-113845.42555281227,200,0.5,0.156,210,70,-140248.3552158713,-30220.23340996105,4869.25,-140206.53182330052,-30236.95818948263,4869.25,-0.2003,0.0765,41808.8,84238.7,1.0003213183814852,1.0003742001126181,1.000695627365201,0.0006956273652010125,0.00037420011261812824,-0.8928810248084804,-0.000150720770984694,215797.43983106533,OK,3,3
