ecc,scan_type,category,event,pl,det_dev,actual_judgment,agrees_with_human,source_dir
4,UTS,IMG,7277,61,0.02402330988067858,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event07277\PL061
4,UTS,IMG,9177,61,0.02402330988067858,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event09177\PL061
4,UTS,IMG,6107,65,0.10779469467731606,j:OK,False,K:\NINJA\E71a\ManualCheck\ScanData\chk_UTS\ECC4_0918\IMG\Event06107\PL065
4,UTS,IMG,212,71,0.05595135391639172,l:?,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event00212\PL071_chk
4,UTS,IMG,2395,71,0.11781123961489381,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event02395\PL071
4,UTS,IMG,6357,72,0.12571330465916075,l:?,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event06357\PL072_chk
4,UTS,IMG,9870,72,0.12571330465916075,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event09870\PL072
4,UTS,IMG,10490,72,0.12571330465916075,l:?,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event10490\PL072_chk
4,UTS,IMG,10490,74,0.07750300382781539,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event10490\PL074
4,UTS,IMG,5775,75,0.01632599309240157,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event05775\PL075
4,UTS,IMG,8950,75,0.11717911258316138,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event08950\PL075
4,UTS,Ref/IMG,1587,18,0.06977798163351345,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event01587\PL018
4,UTS,Ref/IMG,10208,18,0.03295904820778994,l:?,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event10208\PL018_chk
4,UTS,Ref/IMG,10208,19,0.07785588011686895,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event10208\PL019
4,UTS,Ref/IMG,3858,20,0.10637446247672244,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event03858\PL020
4,UTS,Ref/IMG,10208,20,0.01646044765353405,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event10208\PL020
4,UTS,Ref/IMG,1587,21,0.07039019286773418,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event01587\PL021
4,UTS,Ref/IMG,3858,21,0.07039019286773418,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event03858\PL021
4,UTS,Ref/IMG,3858,23,0.1402107612117236,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event03858\PL023
4,UTS,Ref/IMG,6295,24,0.07333819017579168,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event06295\PL024
4,UTS,Ref/IMG,6983,24,0.10435282223778919,l:?,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event06983\PL024_chk
4,UTS,Ref/IMG,8023,24,0.10435282223778919,l:?,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event08023\PL024_chk
4,UTS,Ref/IMG,9487,24,0.17490662364262954,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event09487\PL024
4,UTS,Ref/IMG,10478,24,0.10435282223778919,l:?,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event10478\PL024_chk
4,UTS,Ref/IMG,10544,24,0.06258279869525585,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event10544\PL024
4,UTS,Ref/IMG,6295,25,0.012539978520895723,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event06295\PL025
4,UTS,Ref/IMG,6738,25,0.049503423056275864,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event06738\PL025
4,UTS,Ref/IMG,6983,25,0.033574118898272665,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event06983\PL025
4,UTS,Ref/IMG,8023,25,0.033574118898272665,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event08023\PL025
4,UTS,Ref/IMG,9487,25,0.033574118898272665,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event09487\PL025
4,UTS,Ref/IMG,10478,25,0.033574118898272665,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event10478\PL025
4,UTS,Ref/IMG,10544,25,0.049503423056275864,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event10544\PL025
4,UTS,Ref/IMG,623,26,0.22873908764746265,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event00623\PL026
4,UTS,Ref/IMG,1124,26,0.07115724441920324,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event01124\PL026
4,UTS,Ref/IMG,3196,26,0.22873908764746265,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event03196\PL026
4,UTS,Ref/IMG,4196,26,0.020545313975356194,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event04196\PL026
4,UTS,Ref/IMG,5488,26,0.011895875765212782,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event05488\PL026
4,UTS,Ref/IMG,6295,26,0.07115724441920324,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event06295\PL026
4,UTS,Ref/IMG,6738,26,0.011895875765212782,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event06738\PL026
4,UTS,Ref/IMG,6983,26,0.08199880676262561,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event06983\PL026
4,UTS,Ref/IMG,8023,26,0.08199880676262561,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event08023\PL026
4,UTS,Ref/IMG,10478,26,0.08199880676262561,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event10478\PL026
4,UTS,Ref/IMG,10544,26,0.011895875765212782,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event10544\PL026
4,UTS,Ref/IMG,5130,29,0.030598175687054585,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event05130\PL029
4,UTS,Ref/IMG,9955,33,0.05398280467959271,j:OK,False,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\Ref\IMG\Event09955\PL033
4,UTS,Ref/IMG,9955,35,0.007473735894358735,l:?,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event09955\PL035_chk
4,UTS,Ref/IMG,2069,41,0.20405573428543278,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event02069\PL041
4,UTS,Ref/IMG,7224,41,0.20405573428543278,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event07224\PL041
4,UTS,Ref/IMG,10856,44,0.027329955744900936,l:?,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event10856\PL044_chk
4,UTS,Ref/IMG,10856,45,0.07220122485976366,j:OK,False,K:\NINJA\E71a\ManualCheck\ScanData\chk_UTS\ECC4_0918\Ref\IMG\Event10856\PL045
4,UTS,Ref/IMG,5414,48,0.014249254135602962,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event05414\PL048
4,UTS,Ref/IMG,1751,53,0.08927853226999272,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event01751\PL053
4,UTS,Ref/IMG,9693,54,0.0025212934703301437,j:OK,False,K:\NINJA\E71a\ManualCheck\ScanData\chk_UTS\ECC4_0918\Ref\IMG\Event09693\PL054
4,UTS,Ref/IMG,3542,56,0.013421576477486319,j:OK,False,K:\NINJA\E71a\ManualCheck\ScanData\chk_UTS\ECC4_0918\Ref\IMG\Event03542\PL056
4,UTS,Ref/IMG,3679,56,0.013421576477486319,j:OK,False,K:\NINJA\E71a\ManualCheck\ScanData\chk_UTS\ECC4_0918\Ref\IMG\Event03679\PL056
4,UTS,Ref/IMG,1936,58,0.013611639083448424,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event01936\PL058
4,UTS,Ref/IMG,1936,59,0.30645543517761586,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event01936\PL059
4,UTS,Ref/IMG,5851,59,0.05797028170568186,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event05851\PL059
4,UTS,Ref/IMG,1936,60,0.14085691050325033,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event01936\PL060
4,UTS,Ref/IMG,5851,60,0.19146925319544805,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event05851\PL060
4,UTS,Ref/IMG,7277,61,0.02402330988067858,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event07277\PL061
4,UTS,Ref/IMG,9177,61,0.02402330988067858,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event09177\PL061
4,UTS,Ref/IMG,6107,65,0.10779469467731606,j:OK,False,K:\NINJA\E71a\ManualCheck\ScanData\chk_UTS\ECC4_0918\Ref\IMG\Event06107\PL065
4,UTS,Ref/IMG,212,71,0.05595135391639172,l:?,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event00212\PL071_chk
4,UTS,Ref/IMG,2395,71,0.11781123961489381,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event02395\PL071
4,UTS,Ref/IMG,6357,72,0.12571330465916075,j:OK,False,K:\NINJA\E71a\ManualCheck\ScanData\chk_UTS\ECC4_0918\Ref\IMG\Event06357\PL072
4,UTS,Ref/IMG,9870,72,0.12571330465916075,j:OK,False,K:\NINJA\E71a\ManualCheck\ScanData\chk_UTS\ECC4_0918\Ref\IMG\Event09870\PL072
4,UTS,Ref/IMG,10490,72,0.12571330465916075,l:?,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event10490\PL072_chk
4,UTS,Ref/IMG,10490,74,0.07750300382781539,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event10490\PL074
4,UTS,Ref/IMG,5775,75,0.01632599309240157,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event05775\PL075
4,UTS,Ref/IMG,8950,75,0.11717911258316138,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\Ref\IMG\Event08950\PL075
6,UTS,IMG,5228,43,0.027317029491642497,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC6\IMG\Event05228\PL043
6,UTS,IMG,8742,43,0.027317029491642497,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC6\IMG\Event08742\PL043
6,UTS,IMG,7982,54,0.0962509875829275,l:?,True,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC6\IMG\Event07982\PL054
6,UTS,IMG,3615,78,0.06708253618224824,j:OK,False,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC6\IMG\Event03615\PL078
6,UTS,IMG,3638,78,0.06708253618224824,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC6\IMG\Event03638\PL078
6,UTS,IMG,3615,80,0.093437477043125,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC6\IMG\Event03615\PL080
6,UTS,IMG,3638,80,0.093437477043125,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC6\IMG\Event03638\PL080
6,UTS,IMG,2346,112,0.026949339249415782,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC6\IMG\Event02346\PL112
6,UTS,IMG,7506,125,0.06310615331528246,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC6\IMG\Event07506\PL125
6,UTS,Ref/IMG,5228,43,0.027317029491642497,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC6\Ref\IMG\Event05228\PL043
6,UTS,Ref/IMG,8742,43,0.027317029491642497,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC6\Ref\IMG\Event08742\PL043
6,UTS,Ref/IMG,7982,54,0.0962509875829275,j:OK,False,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC6\Ref\IMG\Event07982\PL054
6,UTS,Ref/IMG,3615,78,0.06708253618224824,l:?,True,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC6\Ref\IMG\Event03615\PL078
6,UTS,Ref/IMG,3638,78,0.06708253618224824,l:?,True,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC6\Ref\IMG\Event03638\PL078
6,UTS,Ref/IMG,3615,80,0.093437477043125,l:?,True,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC6\Ref\IMG\Event03615\PL080
6,UTS,Ref/IMG,3638,80,0.093437477043125,l:?,True,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC6\Ref\IMG\Event03638\PL080
6,UTS,Ref/IMG,2346,112,0.026949339249415782,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC6\Ref\IMG\Event02346\PL112
