ecc,scan_type,category,event,pl,judgment,source_dir,AffineParam_a,AffineParam_b,AffineParam_c,AffineParam_d,AffineParam_e,AffineParam_f,NumOfPics,Gap,PxLen,ThickOfBase,ThickOfEmul,lens_StagePos_x,lens_StagePos_y,lens_SurfacePos,stage_StagePos_x,stage_StagePos_y,stage_SurfacePos,Track_ax,Track_ay,Track_x,Track_y
4,UTS,IMG,7408,106,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event07408\PL106,1.0003903530642804,-0.004022336947595007,0.003599057623607734,1.0004033441924984,56418.655182129,-178925.75765801696,200,0.5,0.14,210,70,75278.24406811803,-97458.34012663984,2037,75255.14989308354,-97377.9911197615,2037,0.10839000000000001,-0.38285,19156.62,81445.97
4,UTS,IMG,7408,107,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event07408\PL107,1.0003668469814377,0.00492268708117561,-0.005288333230231875,1.0004598721894196,58241.746513420534,-176392.7624390246,200,0.5,0.14,210,70,73604.44191981433,-97945.28949846858,2045.75,73580.9082161476,-97865.07419313754,2029.2499999999998,0.1139,-0.3812,14946.9,78570.6
4,UTS,IMG,7408,109,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event07408\PL109,1.0000291127980607,0.02070638147522171,-0.021047199481047423,1.0002426487571237,62317.995205513296,-174704.21285591842,200,0.5,0.14,210,70,79484.84110464095,-97094.20479812777,2049,79463.3140169397,-97013.6454153367,2031.0000000000002,0.1104,-0.3812,15529.8,77998.5
4,UTS,IMG,7728,16,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event07728\PL016,1.000210500152666,-0.0035668392157062914,0.002784315301544004,1.0003857978105783,80262.14793800586,-176605.92305172232,200,0.5,0.14,210,70,104433.02066000388,-153809.74580783915,2029.5,104447.91152602085,-153726.87278998413,2029.5,-0.0723,-0.39428,24261.99,22802.7
4,UTS,IMG,7728,17,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event07728\PL017,1.0003755206634066,-0.004307523826658815,0.0029610462941427594,1.0003316261280584,78136.52946446594,-178283.59309912616,200,0.5,0.14,210,70,102809.7803774242,-153496.0097141607,2043.25,102825.1592412993,-153413.2797289743,2043.25,-0.0749,-0.3936,24786.1,24788.7
4,UTS,IMG,7728,18,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event07728\PL018,1.000411717199173,-0.005989099831056998,0.004952868182413173,1.0002888269024186,80718.40318202139,-176246.0881758581,200,0.5,0.14,210,70,105864.08760166523,-152253.14201568236,2035.4999999999998,105879.5159884041,-152170.19424806192,2035.4999999999998,-0.0758,-0.3945,25294.1,23943.7
4,UTS,IMG,7728,19,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event07728\PL019,1.0004279529784612,-0.006986554470059088,0.0056870087514821165,1.0002846790033604,90118.55097266134,-176059.5726529258,200,0.5,0.14,210,70,116943.70385247827,-150989.64857211494,2049.75,116958.8005433198,-150907.09000879072,2049.75,-0.0746,-0.3926,27003.3,24991.8
4,UTS,IMG,7890,110,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event07890\PL110,1.0003322855293784,-0.0015731762878284181,0.0013239669913934966,1.0005179953646497,61679.66830628883,-256894.37324958591,200,0.5,0.14,210,70,123518.71184925019,-192113.9616150416,2043.7500000000002,123482.21115122236,-192062.5583798266,2043.7500000000002,0.17337000000000002,-0.24488000000000001,61883.79,64716.36
4,UTS,IMG,7890,112,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event07890\PL112,1.0002550497762384,0.013516674615069887,-0.013839256352984374,1.0003226767812734,60279.74745920263,-255182.99761240563,200,0.5,0.14,210,70,119272.43676472068,-192062.80025688515,2043.25,119235.31602819425,-192011.29368712747,2043.25,0.18,-0.2427,58076.3,63954.8
4,UTS,IMG,7890,113,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event07890\PL113,1.0001647597035521,0.013270365181681655,-0.013555363443331338,1.0002690454290515,56921.995048717385,-257444.74239205956,200,0.5,0.14,210,70,115773.43512053104,-191476.0196439015,2048.5,115736.83228055899,-191424.3866157411,2048.5,0.1775,-0.2434,57919,66787.5
